Read something interesting online today? There's a good chance it reached you because of our technology.,0,0,0
"You will work closely with our product, engineering, and editorial teams to deliver the highest-quality content quickly and at scale.",1,0,1
We're building and growing which means you'll be able to leave your fingerprints all over the product while working with a world-class team to tackle one of tech's largest and most challenging problems: local.,0,0,0
Leveraging our large amount of structured and unstructured data to extract newsworthy insights Developing algorithms and modeling techniques to expose conclusively how communities work at a neighborhood level.,0,0,0
Experience mentoring and building a technical team,0,0,0
"MSc (PhD preferred) in hard sciences or computer science, natural language processing, machine learning Extensive experience working with various datasets, familiarity with common schemas, and an understanding of both the power and shortcomings of data",0,0,0
"Experience in large scale software development and product development process (code design, test plan and code reviews)",0,0,0
"Fluent in Python programming including common data science tools such as Jupyter notebooks, scikit-learn, pandas, and matplotlib Fluent in SQL and ability to write queries for large datasets",0,0,0
Passionate about data driven products. Passionate about uncovering stories in the local news space.,1,0,0
"Experience in creating impactful data visualizations. Is an active participant in meet-ups / groups related to: Data Analytics, Hadoop, Cloud Computing, Data Visualization, Data Mining, MapReduce, Machine Learning, High Scalability Computing, Predictive Analytics",0,0,0
"The ideal candidate must be able to act as a consultant to identify customer needs, understand the best path to solve these, explain/gather data requirements, deliver running data tests and work closely with the Sales personal to present results and final recommendation to clients.",0,0,0
"A strong background in data analytics, data science, and/or fraud analysis is required.",0,0,0
A minimum of 3+ years of industry experience working in a similar role.,1,0,0
"Help deliver the best possible solution based on results and subsequent customer feedback. Grow department and manage additional resources, while maintaining a player- coach posture.",0,0,0
"If you are a Data Scientist with 3+ years of experience modeling, analyzing large data-sets and proficient with Python, SQL, and R, please read on!",0,0,0
We are working with massive amounts of data...a few BILLION DATA POINTS A DAY!!!!,0,0,0
"The right candidate is a highly motivated, data scientist who is interested in improving our next generation online analytics platform.",1,0,0
"This is the team that builds Taboola Newsroom, an innovating editorial tool powered by Taboola’s predictive engine and massive data set of over 1B internet users.",0,0,0
You are a hyper-intelligent Data Scientist with a robust background in a big data environment.,1,1,1
"You will build complex Data Science solutions for large-scale product initiatives, scaling up to a Petabyte of data.",0,0,0
Design and build predictive customer behavior models for targeting and personalization,0,0,0
"Implement Machine Learning and statistics-based algorithms for prediction and optimization, then deliver to production",0,0,0
"Build and maintain code to populate HDFS, Hadoop with log from Kafka or data loaded from SQL production systems",0,0,0
"Amgen is seeking early career Data Scientists to play a major role in accelerating capabilities in the entire Data Science landscape across all geographies and business functions including Research & Development, Operations, Global Commercial Operations, and Information Systems.",1,0,1
This is a great opportunity to help shape Amgen's rapidly evolving Data Science capabilities in the golden age of biotechnology and no prior biotechnology experience is required!,1,0,0
This two-year rotation program will expose you to four different business areas and you will be introduced to the many nuances and complexities of our organization.,1,0,0
"You will use your Data Science expertise to identify business problems and to solve them by using various numerical techniques, algorithms, and models in Machine Learning, Statistics, Optimization, and Simulation.",0,0,0
You will be encouraged to think creatively and independently to influence and drive decision-making.,1,0,0
You will also be given the opportunity to work in cross-functional teams that include key internal and external partners across the business.,0,0,0
"If you are excited about making history at a top biotechnology company with top talent, top culture and top benefits, Amgen is interested in partnering with you.",0,0,0
